"day","time","junk1","junk2","Nflasks","quality","co2","date","days","cos12","sin12","cos6","sin6","timeRw2"
"2011-04-26"," 10:39",40659.44,2011.316,3,0,395.02,2011-04-26 10:39:00,11438.44375,-0.407227684161149,0.913326673897542,-0.668331226505494,-0.743863812587803,1333
"2011-05-03"," 10:25",40666.43,2011.335,3,0,393.46,2011-05-03 10:25:00,11445.4340277778,-0.513849760494513,0.857880191891462,-0.471916847279464,-0.881643062272829,1333
"2011-05-10"," 10:34",40673.44,2011.355,3,5,NA,2011-05-10 10:34:00,11452.4402777778,-0.613267570801488,0.789875234833478,-0.247805773206484,-0.968809733005164,1334
"2011-05-17"," 10:26",40680.43,2011.374,3,0,395.03,2011-05-17 10:26:00,11459.4347222222,-0.703643454844112,0.710553227038652,-0.00977177691008384,-0.99995225504822,1334
"2011-05-24"," 10:42",40687.45,2011.393,3,0,395.16,2011-05-24 10:42:00,11466.4458333333,-0.784022808865401,0.620732015590309,0.229383529642385,-0.973336116831591,1335
"2011-05-31"," 10:49",40694.45,2011.412,3,0,394.11,2011-05-31 10:49:00,11473.4506944444,-0.85295522182269,0.521984089379557,0.455065220869189,-0.89045810948931,1335
"2011-06-07"," 10:53",40701.45,2011.431,3,0,394.24,2011-06-07 10:53:00,11480.4534722222,-0.909502472406461,0.415698511768487,0.65438949462693,-0.756157648458251,1336
"2011-06-14"," 10:39",40708.44,2011.451,2,0,393.31,2011-06-14 10:39:00,11487.44375,-0.952801938527221,0.303592598623171,0.815663068122461,-0.578527232981347,1336
"2011-06-21"," 10:36",40715.44,2011.47,3,0,392.99,2011-06-21 10:36:00,11494.4416666667,-0.982365064985831,0.186972936799377,0.930082241809233,-0.367351362419023,1337
"2011-06-28"," 10:25",40722.43,2011.489,3,0,392.44,2011-06-28 10:25:00,11501.4340277778,-0.99770284819577,0.0677423553033651,0.990821946595905,-0.135173481659315,1337
"2011-07-05"," 10:20",40729.43,2011.508,3,0,393,2011-07-05 10:20:00,11508.4305555556,-0.998618885557067,-0.0525387610128069,0.994479357182478,0.104932397942317,1338
"2011-07-12"," 09:40",40736.4,2011.527,3,0,392.73,2011-07-12 09:40:00,11515.4027777778,-0.985158373901211,-0.17164783229718,0.941074043335358,0.338200598699116,1338
"2011-07-19"," 10:31",40743.44,2011.546,3,0,391.7,2011-07-19 10:31:00,11522.4381944444,-0.957228987001624,-0.289331412819011,0.83257466711231,0.553912830400981,1339
"2011-07-26"," 09:57",40750.41,2011.566,3,0,392.15,2011-07-26 09:57:00,11529.4145833333,-0.915704363353375,-0.401852608471799,0.677028962128821,0.735956374005125,1339
"2011-08-02"," 10:05",40757.42,2011.585,3,0,391.32,2011-08-02 10:05:00,11536.4201388889,-0.860751756564712,-0.509024963602732,0.481787172858476,0.87628826311268,1340
"2011-08-09"," 10:00",40764.42,2011.604,3,0,390.78,2011-08-09 10:00:00,11543.4166666667,-0.793407879670001,-0.608690345313242,0.258992127044893,0.965879432501159,1340
"2011-08-17"," 10:36",40772.44,2011.626,3,0,390.16,2011-08-17 10:36:00,11551.4416666667,-0.702096911516066,-0.71208140464388,-0.0141198536792024,0.999900309896981,1341
"2011-08-23"," 10:26",40778.43,2011.642,2,0,389.3,2011-08-23 10:26:00,11557.4347222222,-0.625086947768911,-0.780555127924317,-0.218532615457893,0.975829644959166,1341
"2011-08-30"," 10:22",40785.43,2011.661,3,0,388.52,2011-08-30 10:22:00,11564.4319444444,-0.526835985727489,-0.849966966500784,-0.44488768828509,0.895586369264489,1342
"2011-09-06"," 09:36",40792.4,2011.681,3,0,387.4,2011-09-06 09:36:00,11571.4,-0.421416108135198,-0.906867390418347,-0.644816927608367,0.764337052529646,1342
"2011-09-13"," 09:57",40799.41,2011.7,3,0,388.51,2011-09-13 09:57:00,11578.4145833333,-0.309187411051235,-0.951001127679371,-0.808806289694869,0.588075153147979,1343
"2011-09-19"," 09:55",40805.41,2011.716,3,0,389.42,2011-09-19 09:55:00,11584.4131944444,-0.209582352517624,-0.97779099889147,-0.912150475026357,0.409855475636464,1343
"2011-09-27"," 10:01",40813.42,2011.738,3,0,388.6,2011-09-27 10:01:00,11592.4173611111,-0.0733906960605109,-0.997303266680579,-0.989227611463507,0.146385561850218,1344
"2011-10-04"," 09:56",40820.41,2011.757,3,0,389.31,2011-10-04 09:56:00,11599.4138888889,0.0468833049424318,-0.998900373269364,-0.99560391143535,-0.093663501614193,1344
"2011-10-11"," 09:59",40827.42,2011.776,3,0,388.81,2011-10-11 09:59:00,11606.4159722222,0.166573214784971,-0.986029088879329,-0.9445067282324,-0.328492070412251,1345
"2011-10-18"," 09:53",40834.41,2011.796,3,0,388.84,2011-10-18 09:53:00,11613.4118055556,0.28374616021602,-0.958899429847919,-0.838976233125329,-0.544168062505356,1345
"2011-10-25"," 09:57",40841.41,2011.815,3,0,389.38,2011-10-25 09:57:00,11620.4145833333,0.39692422111959,-0.917851383770056,-0.684902325377214,-0.728634891212935,1346
"2011-11-01"," 09:55",40848.41,2011.834,3,0,389.64,2011-11-01 09:55:00,11627.4131944444,0.504287282633853,-0.863535949786553,-0.491388673147529,-0.870940395149008,1346
"2011-11-08"," 09:55",40855.41,2011.853,3,0,389.66,2011-11-08 09:55:00,11634.4131944444,0.604368815756618,-0.796704672096846,-0.269476669081887,-0.963006918365871,1347
"2011-11-15"," 10:24",40862.43,2011.872,3,0,390.47,2011-11-15 10:24:00,11641.4333333333,0.695946253267888,-0.718093874477696,-0.0313176251247771,-0.999509482874747,1347
"2011-11-22"," 10:03",40869.42,2011.892,3,0,390.63,2011-11-22 10:03:00,11648.41875,0.77701062053995,-0.629487486426952,0.207491008863756,-0.978236924901479,1348
"2011-11-29"," 09:58",40876.42,2011.911,3,0,391.1,2011-11-29 09:58:00,11655.4152777778,0.84697016594562,-0.53164042171194,0.434716924003902,-0.900567152401522,1348
"2011-12-06"," 09:58",40883.42,2011.93,3,0,391.2,2011-12-06 09:58:00,11662.4152777778,0.904700869696867,-0.426047340526535,0.636967327260534,-0.770890799012787,1349
"2011-12-13"," 09:58",40890.42,2011.949,2,0,391.7,2011-12-13 09:58:00,11669.4152777778,0.949329032352804,-0.314283929484294,0.802451223335823,-0.596717717322724,1349
"2011-12-20"," 10:02",40897.42,2011.968,3,0,392.16,2011-12-20 10:02:00,11676.4180555556,0.980217774876138,-0.197921989220178,0.921653772366256,-0.388013303744924,1350
"2011-12-27"," 09:58",40904.42,2011.987,3,0,392.24,2011-12-27 09:58:00,11683.4152777778,0.996891504672446,-0.078786597286,0.987585344176187,-0.157083379032925,1350
"2012-01-03"," 10:01",40911.42,2012.007,3,0,392.96,2012-01-03 10:01:00,11690.4173611111,0.999135490502065,0.0415724863244775,0.996543456761602,0.0830730930303944,1351
"2012-01-10"," 10:02",40918.42,2012.026,2,0,393.64,2012-01-10 10:02:00,11697.4180555556,0.986904513991718,0.161305549386162,0.947961039474457,0.318386349642235,1351
"2012-01-17"," 10:00",40925.42,2012.045,3,0,392.44,2012-01-17 10:00:00,11704.4166666667,0.960387617930984,0.27866758570894,0.844688753350301,0.535257797667175,1352
"2012-01-24"," 09:57",40932.41,2012.064,3,0,393.64,2012-01-24 09:57:00,11711.4145833333,0.919971879476271,0.391984363173962,0.692696518054207,0.721229182628919,1352
"2012-01-31"," 10:00",40939.42,2012.083,3,0,392.35,2012-01-31 10:00:00,11718.4166666667,0.866204540079889,0.499689598395833,0.500620610510023,0.865666797522333,1353
"2012-02-07"," 10:46",40946.45,2012.102,3,0,391.89,2012-02-07 10:46:00,11725.4486111111,0.799576337757444,0.600564467895325,0.278644639803211,0.960394275653983,1353
"2012-02-14"," 10:35",40953.44,2012.121,3,0,393.25,2012-02-14 10:35:00,11732.4409722222,0.721733768592712,0.692170764532107,0.0417992654540768,0.999126028790913,1354
"2012-02-23"," 10:04",40962.42,2012.146,3,0,394.52,2012-02-23 10:04:00,11741.4194444444,0.606660033972128,0.794961384710564,-0.263927206361874,0.964542601310081,1355
"2012-02-28"," 10:00",40967.42,2012.16,3,0,393.63,2012-02-28 10:00:00,11746.4166666667,0.536165656498145,0.84411278203325,-0.425052777583826,0.905168567874667,1355
"2012-03-06"," 09:57",40974.41,2012.179,3,0,393.37,2012-03-06 09:57:00,11753.4145833333,0.430915393559866,0.902392333518601,-0.628623847186292,0.777709495087147,1355
"2012-03-13"," 10:06",40981.42,2012.198,3,0,393.68,2012-03-13 10:06:00,11760.4208333333,0.319292161194219,0.947656327895258,-0.79610503159985,0.605158474006108,1356
"2012-03-20"," 09:57",40988.41,2012.217,3,0,394.38,2012-03-20 09:57:00,11767.4145833333,0.203247001274883,0.979127497557273,-0.917381312945535,0.398009455488593,1356
"2012-03-27"," 10:00",40995.42,2012.236,3,0,395.75,2012-03-27 10:00:00,11774.4166666667,0.0841206724451181,0.996455574758544,-0.985847424934762,0.167645026020751,1357
"2012-04-03"," 09:59",41002.42,2012.255,3,0,394.85,2012-04-03 09:59:00,11781.4159722222,-0.0361769248373583,0.999345400804603,-0.997382460218624,-0.0723064869029356,1357
"2012-04-10"," 10:00",41009.42,2012.274,3,0,396.96,2012-04-10 10:00:00,11788.4166666667,-0.155974285089454,0.987761116055311,-0.951344044781667,-0.308130667831777,1358
"2012-04-17"," 09:56",41016.41,2012.293,3,0,396.05,2012-04-17 09:56:00,11795.4138888889,-0.273454810233721,0.961884851091876,-0.85044493352008,-0.526064078844039,1358
"2012-04-24"," 10:02",41023.42,2012.313,3,0,396.69,2012-04-24 10:02:00,11802.4180555556,-0.387088252278124,0.922042669808869,-0.700325369896534,-0.713823771164342,1359
"2012-05-01"," 10:21",41030.43,2012.332,3,0,397.21,2012-05-01 10:21:00,11809.43125,-0.495243853878604,0.868754007297502,-0.509467050390935,-0.860490165292992,1359
"2012-05-08"," 09:58",41037.42,2012.351,3,0,397.38,2012-05-08 09:58:00,11816.4152777778,-0.595797051381519,0.80313502822694,-0.290051747130175,-0.957010963357648,1360
"2012-05-14"," 10:10",41043.42,2012.367,3,0,397.62,2012-05-14 10:10:00,11822.4236111111,-0.675480104968883,0.737378212175561,-0.0874532555824532,-0.996168624324231,1360
"2012-05-22"," 10:26",41051.43,2012.389,3,0,396.03,2012-05-22 10:26:00,11830.4347222222,-0.770373112793084,0.637593339900515,0.186949465829013,-0.982369531910598,1361
"2012-05-29"," 09:56",41058.41,2012.408,3,0,396.02,2012-05-29 09:56:00,11837.4138888889,-0.841192464676464,0.540735829561475,0.415209525256928,-0.909725810415378,1361
"2012-06-05"," 09:56",41065.41,2012.427,3,0,395.59,2012-06-05 09:56:00,11844.4138888889,-0.900057603345717,0.435770938291625,0.620207378680873,-0.784437892652949,1362
"2012-06-12"," 09:58",41072.42,2012.446,3,0,396.21,2012-06-12 09:58:00,11851.4152777778,-0.945895200751102,0.324472293418146,0.789435461607937,-0.613833570241856,1362
"2012-06-19"," 09:54",41079.41,2012.466,3,0,396.21,2012-06-19 09:54:00,11858.4125,-0.978013275280346,0.208542641623744,0.913019933249181,-0.407914943940107,1363
"2012-06-26"," 09:54",41086.41,2012.485,2,0,395.51,2012-06-26 09:54:00,11865.4125,-0.995982550551961,0.0895475236732393,0.983962482007981,-0.17837554204737,1363
"2012-07-03"," 14:58",41093.62,2012.504,2,0,394.38,2012-07-03 14:58:00,11872.6236111111,-0.999409033168257,-0.0343741824875792,0.997636831156621,0.0687077369717214,1364
"2012-07-10"," 13:58",41100.58,2012.523,4,0,395.12,2012-07-10 13:58:00,11879.5819444444,-0.988152965115331,-0.153472204433831,0.952892564932441,0.303308027748153,1364
"2012-07-17"," 14:55",41107.62,2012.543,3,0,393.9,2012-07-17 14:55:00,11886.6215277778,-0.962376561508994,-0.271719255589526,0.852337292283748,0.522992485780062,1365
"2012-07-24"," 14:56",41114.62,2012.562,4,0,394.16,2012-07-24 14:56:00,11893.6222222222,-0.922762444355439,-0.385369266142456,0.702981057425649,0.71120857201015,1365
"2012-07-31"," 13:56",41121.58,2012.581,3,0,392.68,2012-07-31 13:56:00,11900.5805555556,-0.870140899961269,-0.492803017659788,0.514290371570814,0.857616122580234,1366
"2012-08-07"," 14:53",41128.62,2012.6,2,0,392.75,2012-08-07 14:53:00,11907.6201388889,-0.804236858263775,-0.594308906049719,0.293593848379973,0.955930254879213,1366
